,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社東京レーベル | 私たちは、単に売上や利益だけを目指す会社ではありません。,【企画開発営業】★月給29～58万＋インセン＋賞与2回＋昇給4回★ 正社員,正社員,400万円～800万円
1,株式会社日立ケーイーシステムズ | 【日立グループの一員】＊ITの力でさまざまな課題を解決に導く！,自社ハードウェア製品の【提案営業】＊土日祝休み・転勤なし 正社員,正社員,400万円～700万円
2,YUIME株式会社 | ★リモートワーク可 ★土日祝休 ★年休120日～ ★残業月10h未満,農林水産業を支える自社メディア【コンテンツ企画アシスタント】 正社員,正社員,300万円～720万円
3,株式会社アスカネット | 東証マザーズ上場｜国内外にも事業展開する成長企業！未経験OK,トップクラスのシェアを誇るフォトブックの【PR営業】※東京募集 正社員,正社員,
4,医療法人社団美実会 | アリシアクリニック★WEB面接1回★月13日休み/年休162日も可,＼週3休みも選べる／【受付カウンセラー】★施術・ノルマなし 正社員,正社員,300万円～400万円
5,EQパートナーズ株式会社 | 教育で人と企業と社会を変えたい人求む！年齢・性別・経験不問,◎大手企業の人財開発を支援するコンサルティング【営業】 正社員,正社員,350万円～800万円
6,株式会社アスカネット | 【東証マザーズ上場】★社員定着率90％以上★有給取得率84％,直行直帰★既存顧客フォロー【セールスエンジニア】未経験者歓迎 正社員,正社員,
7,株式会社HIROSE | 〈空調完備＆日勤のみ〉世界最高品質・最新の製品を生み出そう,【生産技術】年間休日120日／お得に利用できる社食・喫茶あり 正社員,正社員,
8,株式会社Adcues agency | 土日祝休/年休120日以上/残業月0～10時間程度/未経験歓迎！,【広告プランナー（企画営業）】TVCMやWeb広告に携われる！ 正社員,正社員,350万円～560万円
9,株式会社カホエンタープライズ | 全国有数「ユーザ企業発」のデータ活用推進サービス特化型企業,経験を活かして活躍！【データ分析コンサルタント】★年休128日 正社員,正社員,400万円～600万円
10,"株式会社カホエンタープライズ | 全国でも稀な""ユーザ企業発""のITサービスを展開！★残業10h程度",【システム営業】▼転勤無し／年休128日／フレックスタイム制 正社員,正社員,600万円～1000万円
11,五洋電気株式会社 | 創業70周年｜大阪府緊急雇用対策に賛同,人事・経理など組織全体に関わる【総務】＜障がい者限定採用＞ 正社員,正社員,250万円～400万円
